epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,303.287,1.2514,0.99914,1.16179,0.82276,0.53971,0.63641,0.44157,1.1075,0.87818,1.10136,0.00080551,0.00080551,0.00080551
117,305.825,1.2215,0.97632,1.17066,0.763,0.58185,0.64569,0.44655,1.08887,0.86227,1.09658,0.00080461,0.00080461,0.00080461
118,308.441,1.22415,0.99991,1.11376,0.76876,0.54105,0.61779,0.41379,1.1957,0.91453,1.1356,0.000803711,0.000803711,0.000803711
119,311.043,1.22635,1.00648,1.14586,0.79493,0.58181,0.65316,0.44402,1.12633,0.8498,1.11202,0.000802811,0.000802811,0.000802811
120,313.592,1.23481,0.96411,1.16127,0.80552,0.57951,0.65063,0.44965,1.0942,0.88937,1.08526,0.000801911,0.000801911,0.000801911
121,316.205,1.24489,0.99631,1.14773,0.82326,0.58728,0.6537,0.445,1.12189,0.83161,1.09713,0.000801011,0.000801011,0.000801011
122,318.774,1.25204,0.97423,1.15299,0.83084,0.58181,0.64733,0.44885,1.115,0.83687,1.09627,0.000800111,0.000800111,0.000800111
123,321.299,1.19987,0.9552,1.10449,0.75736,0.58364,0.64076,0.44464,1.07486,0.84817,1.08173,0.000799211,0.000799211,0.000799211
124,323.939,1.15736,0.95893,1.11227,0.7808,0.58994,0.65258,0.44327,1.0772,0.80169,1.0818,0.000798311,0.000798311,0.000798311
125,326.551,1.20969,0.97881,1.11117,0.86123,0.5565,0.65254,0.44093,1.13858,0.83228,1.09797,0.000797411,0.000797411,0.000797411
126,329.156,1.19292,0.9821,1.11855,0.80784,0.58734,0.66009,0.45585,1.09269,0.80733,1.08531,0.000796511,0.000796511,0.000796511
127,331.682,1.19312,0.96094,1.15115,0.78952,0.5854,0.65159,0.45616,1.08046,0.83841,1.07801,0.000795611,0.000795611,0.000795611
